prod_id,inj_id,distance_m,metric_distance_m,direction_factor,direction_cosine,kernel_type,kernel_params,kernel_score,weight,lag,tau,corr,overlap,lower_bound,upper_bound,t_diff_days,t_front_days
31,36,630.2573311102063,630.2449531080438,1.0,,idw,{'p': 4.0},10.449543656138275,0.024733131973823673,2,2.0,0.41458059472951553,179,1,2,1.3415723421065588,31.34157234210656
33,15,461.890945964564,461.8828188664737,1.0,,idw,{'p': 4.0},10.449543656138275,0.5122930187940331,1,1.0,0.9833049832103687,180,1,2,0.7205414320242843,30.720541432024284
33,26,467.9512808695898,467.9203531237872,1.0,,idw,{'p': 4.0},10.449543656138275,0.4807822984210254,1,1.0,0.9720280231027818,180,1,2,0.7395017656302493,30.739501765630248
33,1,2263.305916712597,2263.281745834188,1.0,,idw,{'p': 4.0},10.449543656138275,0.0007960507875503278,2,2.0,0.88092276046334,179,1,2,17.301054908138077,47.30105490813808
33,34,1465.8501753597093,1465.8415108742452,1.0,,idw,{'p': 4.0},10.449543656138275,0.004991510821473819,2,2.0,0.9719023982776455,179,1,2,7.2572047392203265,37.25720473922033
33,36,1379.8144976090227,1379.7790532226672,1.0,,idw,{'p': 4.0},10.449543656138275,0.0011371211759173651,2,2.0,0.1738151026334338,179,1,2,6.430051304263934,36.430051304263934
35,24,219.38758829213648,219.3827964919765,1.0,,idw,{'p': 4.0},10.449543656138275,0.9746751477793902,1,1.0,0.9723553085644899,180,1,2,0.16255505500998224,30.16255505500998
35,1,549.881927791267,549.8817964903368,1.0,,idw,{'p': 4.0},10.449543656138275,0.021854079989544303,2,2.0,0.8605274412866455,179,1,2,1.0212546071595774,31.021254607159577
35,34,1329.7128501514903,1329.7032985813037,1.0,,idw,{'p': 4.0},10.449543656138275,0.0007139890446988578,2,2.0,0.9613141984659787,179,1,2,5.971794235877631,35.97179423587763
35,36,1510.399686058101,1510.3996741076216,1.0,,idw,{'p': 4.0},10.449543656138275,6.700295159062896e-05,2,2.0,0.15018144954261262,179,1,2,7.705114725546248,37.705114725546245
35,7,528.3277092729567,528.2158758363951,1.0,,idw,{'p': 4.0},10.449543656138275,0.0026897802347759987,2,2.0,0.09018149329351127,179,1,2,0.9423630370114539,30.942363037011454
38,24,354.58399444582955,354.57729300839344,1.0,,idw,{'p': 4.0},10.449543656138275,0.6560497703045418,1,1.0,0.978006551795097,180,1,2,0.42463636474134675,30.424636364741346
38,34,852.84292371313,852.8417581401368,1.0,,idw,{'p': 4.0},10.449543656138275,0.019594793651941205,1,1.0,0.9776329207581471,180,1,2,2.456587607255665,32.45658760725566
38,1,417.2411116363776,417.22184163770726,1.0,,idw,{'p': 4.0},10.449543656138275,0.3159955808925564,2,2.0,0.9030471953451921,179,1,2,0.5879351351807517,30.58793513518075
38,36,1163.736424002828,1163.7313396789182,1.0,,idw,{'p': 4.0},10.449543656138275,0.000726876010339203,2,2.0,0.1257281578623992,179,1,2,4.5740489017768295,34.57404890177683
38,7,613.0065034469454,612.8349886129625,1.0,,idw,{'p': 4.0},10.449543656138275,0.007632979140621368,2,2.0,0.10153822837874678,179,1,2,1.2684765650591419,31.268476565059142
40,15,476.27545847339246,476.2396526372412,1.0,,idw,{'p': 4.0},10.449543656138275,0.5074046823637663,1,1.0,0.8294909538920713,180,1,2,0.7660311824435938,30.766031182443594
40,26,536.335266332739,536.325719980135,1.0,,idw,{'p': 4.0},10.449543656138275,0.31918533694615,1,1.0,0.8392906835280516,180,1,2,0.9715218933839137,30.971521893383915
40,34,885.3632012787127,885.3561241548456,1.0,,idw,{'p': 4.0},10.449543656138275,0.04255253952644793,1,1.0,0.8309070409508804,180,1,2,2.647471749082866,32.64747174908287
40,36,606.9017761914691,606.9003623696068,1.0,,idw,{'p': 4.0},10.449543656138275,0.1265116781388783,1,1.0,0.545450288996571,180,1,2,1.2440279463944832,31.244027946394482
40,1,1560.7850005856699,1560.7838683345012,1.0,,idw,{'p': 4.0},10.449543656138275,0.004345763024757481,2,2.0,0.8195813811294365,179,1,2,8.227746045557977,38.22774604555798
45,1,675.2334901423656,675.2197346863021,1.0,,idw,{'p': 4.0},10.449543656138275,0.1319965217846836,1,1.0,0.3717909771727371,180,1,2,1.5398754564136852,31.539875456413686
