prod_id,inj_id,distance_m,metric_distance_m,direction_factor,direction_cosine,kernel_type,kernel_params,kernel_score,weight,lag,tau,corr,granger_score,mutual_info,psd_corr,conditional_mi,causal_score,overlap,lower_bound,upper_bound,t_diff_days,t_front_days,kernel_weight,attn_alpha,attn_minus_kernel,attn_alpha_train_mean,attn_alpha_train_last,attn_alpha_full_last,crm_weight,regime_labels
14,15,794.3034586539395,794.2739212196323,1.0,,idw,{'p': 4.0},10.449543656138271,0.021960643131379284,1,1.0,-0.22515268962688179,0.06152686081079281,0.43772871706185934,0.9888796735496237,0.41889410140485445,0.4134630663229882,180,1,2,2.130766939807144,32.130766939807145,0.021960643131379284,0.3309893039538492,0.3090286608224699,0.3309893039538492,0.16298472655979435,0.23197385758586925,0.3309893039538492,0|1|2|3|4
27,1,1349.9915507505812,1349.9748749506264,1.0,,idw,{'p': 4.0},10.449543656138271,0.0074917468192115455,2,2.0,0.806067606465373,0.1303006381015073,0.4040437880176036,0.9619218076608913,0.38788486119399646,0.41738545045208636,179,1,2,6.1552644229393145,36.15526442293931,0.0074917468192115455,0.03230740326900689,0.024815656449795345,0.03230740326900689,0.013064409175969273,0.01384989901726669,0.03230740326900689,0|1|2|3|4
27,34,537.0401935248049,537.0386441971935,1.0,,idw,{'p': 4.0},10.449543656138271,0.32027099387950675,2,2.0,0.8645479849213432,0.12430989779539896,0.4621810838931163,0.9640157713359263,0.4642393822341921,0.4446018509986386,179,1,2,0.9741064490055772,30.97410644900558,0.32027099387950675,0.3130455835942631,-0.00722541028524365,0.3130455835942631,0.11197349527801735,0.752271102455561,0.3130455835942631,0|1|2|3|4
27,36,607.0383969833291,607.0073441170954,1.0,,idw,{'p': 4.0},10.449543656138271,0.11705290851799671,2,2.0,0.49816676727509196,0.01916085571100154,0.2795599078059585,0.8331146000896659,0.22887061373187223,0.2915277839183521,179,1,2,1.2444665686856982,31.2444665686857,0.11705290851799671,0.4757280964286064,0.3586751879106097,0.4757280964286064,0.7405228819154358,0.09592858812558115,0.4757280964286064,0|1|2|3|4
3,24,815.9480869261479,815.9473044617774,1.0,,idw,{'p': 4.0},10.449543656138271,0.02510834356153859,1,1.0,0.8577609594628475,0.046856169163373394,0.4164383272088481,0.923641685758035,0.3368298787496488,0.3765839763338894,180,1,2,2.2486381115210623,32.24863811152106,0.02510834356153859,0.1459569458264046,0.12084860226486599,0.1459569458264046,0.022854723093961592,0.023121522669702483,0.1459569458264046,0|1|2|3|4
3,36,598.3129287254369,598.3081552009882,1.0,,idw,{'p': 4.0},10.449543656138271,0.045713654153654325,1,1.0,0.39243277217531186,0.03265383116270494,0.2331968015524336,0.8506837981108716,0.2351596655168802,0.2867985908223832,180,1,2,1.2090525798036842,31.209052579803686,0.045713654153654325,0.025153356244913855,-0.02056029790874047,0.025153356244913855,0.02285521217302879,0.02307995902949595,0.025153356244913855,0|1|2|3|4
3,1,468.7369201623018,468.7275741016738,1.0,,idw,{'p': 4.0},10.449543656138271,0.2138335974530732,2,2.0,0.7684767687367469,0.14585418939328818,0.37313330285929824,0.9121239187616121,0.29621897641512235,0.3898465873600311,179,1,2,0.7420554320119237,30.742055432011924,0.2138335974530732,0.28972808312572845,0.07589448567265525,0.28972808312572845,0.7961378284957238,0.7948253184247044,0.28972808312572845,0|1|2|3|4
3,34,353.86272372347986,353.85417284666835,1.0,,idw,{'p': 4.0},10.449543656138271,0.7132927870327765,2,2.0,0.8539517511964821,0.06300174104454867,0.44230347511840606,0.918505688083624,0.34607682254796596,0.39035431290003353,179,1,2,0.4229061354649674,30.422906135464967,0.7132927870327765,0.15657918961025977,-0.5567135974225168,0.15657918961025977,0.15004004374850521,0.150679539111041,0.15657918961025977,0|1|2|3|4
3,7,1177.2466328709588,1177.1697974829333,1.0,,idw,{'p': 4.0},10.449543656138271,0.002051617798957299,2,2.0,0.24099821656727036,0.011816294669777464,0.2518151312709857,0.5944915114650479,0.19122037146744222,0.22726160052884373,179,1,2,4.680298634844977,34.68029863484497,0.002051617798957299,0.3825824251926933,0.380530807393736,0.3825824251926933,0.008112192488780623,0.00829366076505622,0.3825824251926933,0|1|2|3|4
31,15,310.3199920146945,310.30349247792884,1.0,,idw,{'p': 4.0},10.449543656138271,0.8920138664653094,1,1.0,0.88146717598296,0.05864917598366123,0.4678206010934637,0.948937835377622,0.4584522464845148,0.4194287959705222,180,1,2,0.3252135785492821,30.32521357854928,0.8920138664653094,0.23738180765800135,-0.6546320588073081,0.23738180765800135,0.16320770244534163,0.16393039867688966,0.23738180765800135,0|1|2|3|4
31,26,616.6491775311224,616.6489232535882,1.0,,idw,{'p': 4.0},10.449543656138271,0.05592361794709842,1,1.0,0.8563883891457068,0.1044458204273605,0.43749555201751283,0.9453477696261923,0.4095047857037151,0.41829997453562573,180,1,2,1.2843142405284842,31.284314240528484,0.05592361794709842,0.20506124417134816,0.14913762622424975,0.20506124417134816,0.021076328679590698,0.021357756703548947,0.20506124417134816,0|1|2|3|4
31,1,1521.3971958925422,1521.3904815232972,1.0,,idw,{'p': 4.0},10.449543656138271,0.0013131746121893498,2,2.0,0.7393470445957262,0.04408210272831872,0.39345431472095727,0.9259311651855765,0.35933497474979376,0.3725515096207831,179,1,2,7.81765917462782,37.81765917462782,0.0013131746121893498,0.06144975423407336,0.06013657962188401,0.06144975423407336,0.007380919463320573,0.00753746204800368,0.06144975423407336,0|1|2|3|4
31,34,760.7394288586931,760.7388964817367,1.0,,idw,{'p': 4.0},10.449543656138271,0.02343263545806337,2,2.0,0.8303306304389344,0.07104614837721991,0.4504339599470363,0.9328954755774832,0.4043715644805703,0.40723116970372003,179,1,2,1.954639124844691,31.95463912484469,0.02343263545806337,0.26860348786143157,0.2451708524033682,0.26860348786143157,0.05297455558622805,0.7308776550600923,0.26860348786143157,0|1|2|3|4
31,36,630.2573311102063,630.2449531080438,1.0,,idw,{'p': 4.0},10.449543656138271,0.02731670551733936,2,2.0,0.41458059472951553,0.006076055607268758,0.25233791968750785,0.8412332649294316,0.26448660464436324,0.28574763905133727,179,1,2,1.3415723421065588,31.34157234210656,0.02731670551733936,0.22750370607514564,0.20018700055780628,0.22750370607514564,0.7553604938255192,0.07629672751146539,0.22750370607514564,0|1|2|3|4
33,15,461.890945964564,461.8828188664737,1.0,,idw,{'p': 4.0},10.449543656138271,0.5010509447776222,1,1.0,0.9833049832103687,0.10500503736919016,0.4856006536272391,0.9797612023014376,0.5240890957477471,0.4569975639898379,180,1,2,0.7205414320242843,30.720541432024284,0.5010509447776222,0.19243396786293412,-0.30861697691468815,0.19243396786293412,0.0974343399800663,0.20988874762802473,0.19243396786293412,0|1|2|3|4
33,26,467.9512808695898,467.9203531237872,1.0,,idw,{'p': 4.0},10.449543656138271,0.4911394308741349,1,1.0,0.9720280231027818,0.369372255028195,0.461787650191536,0.986895727703428,0.4765024319172444,0.5366710946456013,180,1,2,0.7395017656302493,30.739501765630248,0.4911394308741349,0.19044576847495162,-0.30069366239918327,0.19044576847495162,0.09568993527329299,0.20814354720821174,0.19044576847495162,0|1|2|3|4
33,1,2263.305916712597,2263.281745834188,1.0,,idw,{'p': 4.0},10.449543656138271,0.0007897135880452406,2,2.0,0.88092276046334,0.13257870408339328,0.41505403119083567,0.9924717248652684,0.43165243540801157,0.43416096607069377,179,1,2,17.301054908138077,47.30105490813808,0.0007897135880452406,0.21119822976077907,0.21040851617273382,0.21119822976077907,0.22417369168741427,0.18143680381426477,0.21119822976077907,0|1|2|3|4
33,34,1465.850175359709,1465.8415108742452,1.0,,idw,{'p': 4.0},10.449543656138271,0.005194352157098584,2,2.0,0.9719023982776455,0.44580644624104543,0.48630329880926076,0.9922440370141302,0.4900714292054719,0.5738827676107909,179,1,2,7.2572047392203265,37.25720473922033,0.005194352157098584,0.1909587919771194,0.1857644398200208,0.1909587919771194,0.5768518760080813,0.2822762949586156,0.1909587919771194,0|1|2|3|4
33,36,1379.8144976090227,1379.7790532226672,1.0,,idw,{'p': 4.0},10.449543656138271,0.001825558603098988,2,2.0,0.1738151026334338,0.013135503799784889,0.2946975401098477,0.8265549095289556,0.2767958059896524,0.299837041167118,179,1,2,6.430051304263934,36.430051304263934,0.001825558603098988,0.21496324192421576,0.21313768332111677,0.21496324192421576,0.005850157051145108,0.1182546063908833,0.21496324192421576,0|1|2|3|4
35,24,219.38758829213648,219.3827964919765,1.0,,idw,{'p': 4.0},10.449543656138271,0.9705935012271681,1,1.0,0.9723553085644899,0.05046034165810594,0.47539548229872763,0.8737671048142198,0.5672200474504638,0.4201161923503689,180,1,2,0.16255505500998224,30.16255505500998,0.9705935012271681,0.23933386618968883,-0.7312596350374794,0.23933386618968883,0.17967488776114954,0.1809735742748954,0.23933386618968883,0|1|2|3|4
