prod_id,inj_id,distance_m,metric_distance_m,direction_factor,direction_cosine,kernel_type,kernel_params,kernel_score,weight,lag,tau,corr,granger_score,mutual_info,psd_corr,conditional_mi,causal_score,overlap,lower_bound,upper_bound,t_diff_days,t_front_days,attn_alpha,attn_minus_kernel,attn_alpha_train_mean,attn_alpha_train_last,attn_alpha_full_last
38,36,1163.736424002828,1163.7313396789182,1.0,,idw,{'p': 4.0},10.449543656138275,0.0013850372219102998,2,2.0,0.1257281578623992,5.382271428063743e-05,0.30049137483518207,0.7977122953850868,0.34051000052559843,0.30078520955640997,179,1,2,4.5740489017768295,34.57404890177683,0.13158029345650085,0.13019525623459055,0.13158029345650085,0.4032300471747247,0.16643263198004668
38,7,613.0065034469454,612.8349886129625,1.0,,idw,{'p': 4.0},10.449543656138275,0.017234511059610044,2,2.0,0.10153822837874678,0.13154014793444252,0.3268415093437795,0.6048891795786284,0.3396368995741677,0.31601487543203954,179,1,2,1.2684765650591419,31.268476565059142,0.18288369162909962,0.16564918056948957,0.18288369162909962,0.059639860559919836,0.5875597889492203
40,15,476.27545847339246,476.2396526372412,1.0,,idw,{'p': 4.0},10.449543656138275,0.5050335187210002,1,1.0,0.8294909538920713,1.843037946200413e-05,0.4713667954973481,0.9467508894705214,0.45027233753932056,0.3983075178070185,180,1,2,0.7660311824435938,30.766031182443594,0.22100015020954603,-0.2840333685114542,0.22100015020954603,0.11240559861750868,0.13911542496843415
40,26,536.335266332739,536.325719980135,1.0,,idw,{'p': 4.0},10.449543656138275,0.31648793198199604,1,1.0,0.8392906835280516,0.012250652790288422,0.4615263407651304,0.9487603155031713,0.42805017229949527,0.39670521965169864,180,1,2,0.9715218933839137,30.971521893383915,0.1664439847555325,-0.15004394722646355,0.1664439847555325,0.07888143386981682,0.09934819610880702
40,34,885.3632012787127,885.3561241548456,1.0,,idw,{'p': 4.0},10.449543656138275,0.04311313712632376,1,1.0,0.8309070409508804,0.08853833776967654,0.46390205415020613,0.9526372511880405,0.45202677029248,0.4284905002459287,180,1,2,2.647471749082866,32.64747174908287,0.202811035691802,0.15969789856547825,0.202811035691802,0.02813321481996279,0.03733593838515574
40,36,606.9017761914691,606.9003623696068,1.0,,idw,{'p': 4.0},10.449543656138275,0.1309390776248804,1,1.0,0.545450288996571,0.03470795266811585,0.32224938762812066,0.8157466653026029,0.2199432087630559,0.30496341409725575,180,1,2,1.2440279463944832,31.244027946394482,0.19551981370239832,0.06458073607751791,0.19551981370239832,0.0433337969886675,0.055015563630243694
40,1,1560.7850005856699,1560.7838683345012,1.0,,idw,{'p': 4.0},10.449543656138275,0.004426334545799617,2,2.0,0.8195813811294365,0.16284138087859643,0.42337216506077185,0.9480910315343996,0.3851674424336076,0.43139945549766134,179,1,2,8.227746045557977,38.22774604555798,0.21422501564072122,0.2097986810949216,0.21422501564072122,0.7372459557040443,0.6691848769073595
45,1,675.2334901423656,675.2197346863021,1.0,,idw,{'p': 4.0},10.449543656138275,0.1378231501322714,1,1.0,0.3717909771727371,0.00020183334955997502,0.38724076194924656,0.9299337359633687,0.4464670618029976,0.36919967672024334,180,1,2,1.5398754564136852,31.539875456413686,0.12127632955638161,-0.016546820575889784,0.12127632955638161,0.1554938665590063,0.09241671081832878
45,24,512.0817800889229,512.0449686297484,1.0,,idw,{'p': 4.0},10.449543656138275,0.39633311850858843,1,1.0,0.3327624226557361,0.008492702127339,0.4283095054259601,0.9389298767749042,0.4206217287163744,0.3823445320347937,180,1,2,0.8855468636689395,30.88554686366894,0.20212987859231435,-0.19420323991627408,0.20212987859231435,0.25806601014210423,0.1620706183157335
45,34,961.8999959777522,961.8507833141269,1.0,,idw,{'p': 4.0},10.449543656138275,0.03181529619574558,1,1.0,0.33323702072043676,0.004271818087992228,0.42716796077121283,0.935152895425561,0.4299863338077756,0.3811740537184397,180,1,2,3.124717423539058,33.12471742353906,0.07749435168581237,0.04567905549006679,0.07749435168581237,0.09746023954934804,0.05598388997281677
45,7,546.1821259093068,546.1471617273223,1.0,,idw,{'p': 4.0},10.449543656138275,0.4203863592649268,1,1.0,0.5612035561410175,0.1315045218319015,0.34974335777084303,0.8256440218822925,0.3479187834121556,0.3682662118607003,180,1,2,1.0074295954670773,31.007429595467077,0.46880760966389434,0.04842125039896755,0.46880760966389434,0.37669128638710625,0.4578601359690213
45,36,1336.6752050947941,1336.6662969923384,1.0,,idw,{'p': 4.0},10.449543656138275,0.01364207589846781,2,2.0,0.7153011522179363,0.08325663082202345,0.31063666307274335,0.860884142001619,0.2766167131962676,0.33600015508929515,179,1,2,6.034500653074087,36.03450065307409,0.13029183050159737,0.11664975460312957,0.13029183050159737,0.11228859736243536,0.2316686449240997
48,1,459.87815515695,459.8723031348591,1.0,,idw,{'p': 4.0},10.449543656138275,0.4293443427178805,1,1.0,0.6562145282544112,0.03132089038087704,0.4561358782809748,0.9129467448427286,0.4408927777853086,0.39652634075394144,180,1,2,0.7142822385169468,30.714282238516947,0.1681863460375468,-0.2611579966803337,0.1681863460375468,0.09171922691465836,0.28120667411980194
48,24,890.0894056750478,890.0797310325406,1.0,,idw,{'p': 4.0},10.449543656138275,0.03012347043262473,1,1.0,0.6478556342331293,0.0005795881050034215,0.46723892082318885,0.9140449438564745,0.43090042034217035,0.3878185839063283,180,1,2,2.6757970202107217,32.67579702021072,0.050221900813534864,0.020098430380910134,0.050221900813534864,0.017802736118413383,0.10500893731605324
48,34,527.4858453750585,527.4290563393718,1.0,,idw,{'p': 4.0},10.449543656138275,0.24360238246917615,1,1.0,0.6436440406033487,0.002226575969973843,0.4682543101081192,0.9156931789348545,0.4382092519552279,0.39012561820218167,180,1,2,0.9395576788018551,30.939557678801854,0.17720199902016842,-0.06640038344900773,0.17720199902016842,0.05827663757088184,0.206339666410397
