DATA;well;TYPE;WLPT;WLPR;WOMT;WOMR;WWIR;WWIT;WTHP;WBHP;WLPT_Diff;WOMT_Diff;WWIT_Diff;;;
01.07.2015;1;INJ;17665.67229;0;4870.00384;0;186.079617;468968.2178;192.8996834;240;0;0;5768.468128;;;
01.08.2015;1;INJ;17665.67229;0;4870.00384;0;186.474763;474748.9354;192.8529833;240;0;0;5780.717654;;;
01.09.2015;1;INJ;17665.67229;0;4870.00384;0;186.8547575;480354.5782;192.807602;240;0;0;5605.642726;;;
01.10.2015;1;INJ;17665.67229;0;4870.00384;0;187.2461616;486159.2092;192.7601312;240;0;0;5804.63101;;;
01.11.2015;1;INJ;17665.67229;0;4870.00384;0;187.623594;491787.917;192.7137826;240;0;0;5628.70782;;;
01.12.2015;1;INJ;17665.67229;0;4870.00384;0;188.0119866;497616.2886;192.6655623;240;0;0;5828.371585;;;
01.01.2016;1;INJ;17665.67229;0;4870.00384;0;188.3984797;503456.6414;192.6170252;240;0;0;5840.352872;;;
01.02.2016;1;INJ;17665.67229;0;4870.00384;0;188.7579436;508930.6218;192.5714838;240;0;0;5473.980365;;;
01.03.2016;1;INJ;17665.67229;0;4870.00384;0;189.1388978;514793.9276;192.5229191;240;0;0;5863.305832;;;
01.04.2016;1;INJ;17665.67229;0;4870.00384;0;189.5046487;520479.0671;192.476006;240;0;0;5685.139462;;;
01.05.2016;1;INJ;17665.67229;0;4870.00384;0;189.879911;526365.3443;192.4275075;240;0;0;5886.277242;;;
01.06.2016;1;INJ;17665.67229;0;4870.00384;0;190.2400937;532072.5472;192.380701;240;0;0;5707.202811;;;
01.07.2016;1;INJ;17665.67229;0;4870.00384;0;190.6089688;537981.4252;192.3325079;240;0;0;5908.878032;;;
01.08.2016;1;INJ;17665.67229;0;4870.00384;0;190.9742361;543901.6265;192.2845895;240;0;0;5920.20132;;;
01.09.2016;1;INJ;17665.67229;0;4870.00384;0;191.3243941;549641.3583;192.2384771;240;0;0;5739.731822;;;
01.10.2016;1;INJ;17665.67229;0;4870.00384;0;191.6825979;555583.5189;192.1911411;240;0;0;5942.160534;;;
01.11.2016;1;INJ;17665.67229;0;4870.00384;0;192.025907;561344.2961;192.1456232;240;0;0;5760.777211;;;
01.12.2016;1;INJ;17665.67229;0;4870.00384;0;192.377549;567308.0001;192.098786;240;0;0;5963.704018;;;
01.01.2017;1;INJ;17665.67229;0;4870.00384;0;192.7258738;573282.5022;192.0521991;240;0;0;5974.502087;;;
01.02.2017;1;INJ;17665.67229;0;4870.00384;0;193.038386;578687.577;192.0101683;240;0;0;5405.074807;;;
01.03.2017;1;INJ;17665.67229;0;4870.00384;0;193.3820456;584682.4204;191.9636276;240;0;0;5994.843413;;;
01.04.2017;1;INJ;17665.67229;0;4870.00384;0;193.7123229;590493.7901;191.9186377;240;0;0;5811.369686;;;
01.05.2017;1;INJ;17665.67229;0;4870.00384;0;194.0512662;596509.3793;191.8721736;240;0;0;6015.589251;;;
01.06.2017;1;INJ;17665.67229;0;4870.00384;0;194.3778341;602340.7144;191.8270327;240;0;0;5831.335024;;;
01.07.2017;1;INJ;17665.67229;0;4870.00384;0;194.7131986;608376.8235;191.7803624;240;0;0;6036.109155;;;
01.08.2017;1;INJ;17665.67229;0;4870.00384;0;195.0459686;614423.2485;191.7338194;240;0;0;6046.425028;;;
01.09.2017;1;INJ;17665.67229;0;4870.00384;0;195.3656304;620284.2174;191.688886;240;0;0;5860.968911;;;
01.10.2017;1;INJ;17665.67229;0;4870.00384;0;195.6934301;626350.7138;191.6425762;240;0;0;6066.496334;;;
01.11.2017;1;INJ;17665.67229;0;4870.00384;0;196.0084164;632230.9663;191.5978561;240;0;0;5880.252492;;;
01.12.2017;1;INJ;17665.67229;0;4870.00384;0;195.9034426;638303.973;191.4842838;239.8312517;0;0;6073.00672;;;
01.01.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;644376.9797;190.2336032;238.5158016;0;0;6073.00672;;;
01.02.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;649862.2761;188.7862354;237.0353139;0;0;5485.296392;;;
01.03.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;655935.2828;187.2711487;235.5042437;0;0;6073.00672;;;
01.04.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;661812.3861;187.0357529;235.274617;0;0;5877.103277;;;
01.05.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;667885.3928;187.9812955;236.2124569;0;0;6073.00672;;;
01.06.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;673762.4961;187.6300718;235.7959845;0;0;5877.103277;;;
01.07.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;679835.5028;187.6127739;235.7622038;0;0;6073.00672;;;
01.08.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;685908.5095;186.746373;234.8546309;0;0;6073.00672;;;
01.09.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;691785.6128;185.5968746;233.679413;0;0;5877.103277;;;
01.10.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;697858.6195;184.4494982;232.5163407;0;0;6073.00672;;;
01.11.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;703735.7228;184.5005094;232.5665419;0;0;5877.103277;;;
01.12.2018;1;INJ;17665.67229;0;4870.00384;0;195.9034426;709808.7295;184.064264;232.0971671;0;0;6073.00672;;;
01.01.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;715881.7363;183.2429872;231.2483994;0;0;6073.00672;;;
01.02.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;721367.0326;182.4932631;230.4797482;0;0;5485.296392;;;
01.03.2019;1;INJ;17665.67229;0;4870.00384;0;195.9034426;727440.0394;182.8007501;230.7781627;0;0;6073.00672;;;
